model,scenario,region,variable,unit,year,value,Category,Ssp_family
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.8271,C3,2.0
GCAM 5.3,R_MAC_30_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.93821886067,C1,2.0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.0791,C2,2.0
POLES ENGAGE,EN_NPi2020_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.7174243927002,C3,2.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.1993,C2,2.0
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.5272,C3,2.0
REMIND 2.1,TechCost-SSP2-B1100-nucH,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.1745,C3,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.8472,C1,2.0
REMIND 2.1,R2p1_SSP2-PkBudg1100,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.5161,C3,2.0
POLES ENGAGE,EN_INDCi2030_600f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.21748924255371,C3,2.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.6903,C2,2.0
POLES ENGAGE,EN_INDCi2030_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.55702781677246,C3,2.0
POLES GECO2019,CO_2Deg2020,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.89883613586426,C3,2.0
POLES ENGAGE,EN_INDCi2030_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.26931190490723,C3,2.0
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.6389,C1,2.0
REMIND 2.1,CEMICS_opt_2C,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.0941,C3,2.0
AIM/CGE 2.2,EN_NPi2020_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.3633,C2,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.66,C2,2.0
GCAM 5.3,R_MAC_75_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.3306822875,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.8299,C3,2.0
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.805012992,C1,2.0
REMIND 2.1,CEMICS_HotellingConst_2C,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.5842,C3,2.0
POLES ENGAGE,EN_NPi2020_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.51746559143066,C3,2.0
POLES ENGAGE,EN_INDCi2030_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.22632026672364,C3,2.0
WITCH 5.0,CO_2Deg2020,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.6579386784413,C3,2.0
REMIND 2.1,CEMICS_HotellingConst_1p5,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.2334,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_1200,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.23470305318252,C3,2.0
REMIND-Buildings 2.0,BEG-Budg600,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.6487,C2,2.0
GCAM 5.3,SSP_SSP2,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.938017318,C3,2.0
AIM/CGE 2.2,EN_NPi2020_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.1703,C3,2.0
POLES ENGAGE,EN_INDCi2030_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.1115779876709,C2,2.0
GEM-E3_V2021,EN_NPi2020_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.772609975114204,C2,2.0
REMIND-Transport 2.1,Transport_Budg1100_Conv,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.9048,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.5871,C2,2.0
POLES ENGAGE,EN_INDCi2030_300f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.12192726135254,C2,2.0
WITCH 5.0,EN_INDCi2030_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,32.2790171801343,C2,2.0
GEM-E3_V2021,EN_INDCi2030_1000_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.079798474298645,C3,2.0
IMAGE 3.0,CO_2Deg2030,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.48356864,C3,2.0
AIM/CGE 2.2,EN_INDCi2030_1000f,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.5314,C3,2.0
AIM/CGE 2.2,EN_NPi2020_600,EU28,Secondary Energy|Electricity,EJ/yr,2050,29.3423,C1,2.0
POLES ENGAGE,EN_NPi2020_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.95818328857422,C2,2.0
TIAM-ECN 1.1,EN_NPi2020_1200,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.477751847839667,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.4396,C2,2.0
POLES GECO2019,CO_Bridge,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.0951099395752,C2,2.0
IMAGE 3.2,SSP2_SPA2_26I_LIRE,EU28,Secondary Energy|Electricity,EJ/yr,2050,14.943254016000001,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.7526,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.9574,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.1586,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.0261,C2,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.92098373072129,C3,2.0
REMIND 2.1,R2p1_SSP2-PkBudg900,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.1282,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.2711,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.9443,C2,2.0
GEM-E3_V2021,EN_NPi2020_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.703024127143333,C2,2.0
