model,scenario,region,variable,unit,year,value,Category,Ssp_family
WITCH 5.0,EN_NPi2020_700f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2407.119796027775,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,881.4648,C1,2.0
POLES ENGAGE,EN_NPi2020_1800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6826.15771484375,C5,2.0
GEM-E3_V2021,EN_INDCi2030_1800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2954.61936942496,C5,2.0
AIM/CGE 2.2,EN_NPi2020_800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1738.3819,C3,2.0
IMAGE 3.0.2,EMF33_Med2C_cost100,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1477.94799804688,C5,2.0
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-524.0671000000001,C3,2.0
IMAGE 3.2,SSP2_SPA2_34I_LIRE,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,17521.06380621929,C5,2.0
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,10284.05773,C5,2.0
GCAM 5.3,NGFS2_Divergent Net Zero Policies,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2411.790896,C2,2.0
WITCH 5.0,EN_INDCi2030_800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1460.685935516605,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,548.7211,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,9100.694232156811,C5,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-150.3621,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1163.5568,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,13.59954442893317,C1,2.0
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6684.63318941438,C5,2.0
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,8082.27635107343,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1190.9862,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-155.9978155988189,C1,2.0
GCAM 5.3,R_MAC_35_n8,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-5304.78878807,C1,2.0
AIM/CGE 2.2,EN_NPi2020_600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,718.6007,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,278.5057951920467,C3,2.0
POLES GECO2019,CO_2Deg2030,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1387.249389648438,C3,2.0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,944.9274,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR10p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,986.2691573619516,C3,2.0
WITCH 5.0,EN_NPi2020_400f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2888.223513915136,C1,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,901.038695170986,C2,2.0
COFFEE 1.1,EN_NPi2020_1000f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1089.042605,C5,2.0
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,8336.088900449897,C5,2.0
TIAM-ECN 1.1,EN_NPi2020_1600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1557.387317563001,C5,2.0
IMAGE 3.0.2,EMF33_Med2C_full,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-191.611099243164,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1165.8945,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR2p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,849.9800216721655,C3,2.0
